1,AdminAssistant,n_adminAssistant;ex_medicalTeam;decision;physician;patient;record;wristBand;report;calendar;bookingCalendar
1,Patient,n_patient;id;name;address;healthCard;history;nurse;decision;physician;adminAssistant;wristBand
1,PatientsList,n_patientsList;physician;ward
2,AdminAssistant,n_adminAssistant;ex_medicalTeam;patient
2,Patient,n_patient;physician;healthCard;adminAssistant
3,AdminAssistant,n_adminAssistant;ex_medicalTeam;equipment;calendar;bookingCalendar;procedure;decision;patientProfile;record;scanner
3,Patient,n_patient;history;bed;room;display;physician;nurse;healthCard;diagnosis;patientProfile
3,PatientCheckout,n_patientCheckout;ex_decision
3,PatientTransfer,n_patientTransfer;ex_decision;destination;source
4,AdminAssistant,n_adminAssistant;ex_medicalTeam;calendar
4,Patient,n_patient;name;status;patientProfile;wristBand;physician
5,AdminAssistant,n_adminAssistant;ex_medicalTeam;decision
5,Patient,n_patient;physician
6,AdminAssistant,n_adminAssistant;ex_medicalTeam;patientProfile;procedure;wardStay;inPatient;outPatient
7,AdminAssistant,n_adminAssistant;ex_medicalTeam;calendar;procedure;schedule;record;patientProfile;database
7,Patient,n_patient;healthCard;wristBand;history;patientProfile;ward
8,AdminAssistant,n_adminAssistant;ex_medicalTeam;calendar;procedure
8,Patient,n_patient;name;healthCard;wristBand;patientProfile
