1,"[181,44,19,149,17,129,26]",181;44;19;149;17;129;26
1,"[41,5,40,25,131,193,11]",41;5;40;25;131;193;11
1,"[6,185,158,103]",6;185;158;103
1,"[135,19,110,31,129]",135;19;110;31;129
1,"[44,46,39]",44;46;39
1,"[58,47,33,168]",58;47;33;168
1,"[7,121,138,184,122,41,52,168]",7;121;138;184;122;41;52;168
1,"[121,174,149]",121;174;149
1,"[133,45,175,19,22,52,50]",133;45;175;19;22;52;50
1,"[138,32,120]",138;32;120
1,"[144,162,136,53]",144;162;136;53
1,"[117,108,23,24,27,28,29]",117;108;23;24;27;28;29
1,"[21,31,17,18,23,53,39,193]",21;31;17;18;23;53;39;193
1,"[133,149,55,187,104,157,13,14,154]",133;149;55;187;104;157;13;14;154
1,"[180,44,55,195,130]",180;44;55;195;130
1,"[134,55,124,160,106,169,53,34]",134;55;124;160;106;169;53;34
1,"[171,182,30,42,160,40,194,159,140]",171;182;30;42;160;40;194;159;140
1,"[123,17,53]",123;17;53
1,"[1,163,113,35,196,191,168,50]",1;163;113;35;196;191;168;50
1,"[105,9,26]",105;9;26
1,"[127,36,197,8]",127;36;197;8
1,"[128,42,184,136,149,119]",128;42;184;136;149;119
1,"[171,126,7,45,22,35,33,103]",171;126;7;45;22;35;33;103
1,"[17,141]",17;141
1,"[174,7,56,108,5,197,159,177,13]",174;7;56;108;5;197;159;177;13
1,"[125,43,44,16,25,37,141]",125;43;44;16;25;37;141
1,"[164,24,9,197]",164;24;9;197
1,"[21,148,5,4,131,190]",21;148;5;4;131;190
1,"[134,153,199,55,176,11,167,38]",134;153;199;55;176;11;167;38
1,"[171,30,111]",171;30;111
1,"[6,110,47,4,53,129,192]",6;110;47;4;53;129;192
1,"[180,114,1,30,51,22,194,8]",180;114;1;30;51;22;194;8
1,"[48,31,4,53,131,28,50,192]",48;31;4;53;131;28;50;192
1,"[181,133,25,129,167]",181;133;25;129;167
1,"[152,20,184,32,54,50]",152;20;184;32;54;50
1,"[171,132,5,137,188,194,104,155]",171;132;5;137;188;194;104;155
2,"[183,47,9,14]",183;47;9;14
2,"[2,127,136,137,52]",2;127;136;137;52
2,"[144,7,42,32,18]",144;7;42;32;18
2,"[173,38,50]",173;38;50
2,"[181,163,44,105,18,25]",181;163;44;105;18;25
2,"[180,59,42,47,137,176,158,14,119]",180;59;42;47;137;176;158;14;119
2,"[43,55]",43;55
2,"[30,6,56,106,51,39,11,141]",30;6;56;106;51;39;11;141
2,"[20,171]",20;171
2,"[117,195,15]",117;195;15
2,"[56,194,189,25,12]",56;194;189;25;12
2,"[161,21,152,59,17,177,9,100,38]",161;21;152;59;17;177;9;100;38
2,"[112,22,194,25]",112;22;194;25
2,"[16,37]",16;37
2,"[23,177,37,29,167]",23;177;37;29;167
2,"[3,1,44,56,25,189,13,157]",3;1;44;56;25;189;13;157
2,"[170,171,10,138,149,156,165,168,141]",170;171;10;138;149;156;165;168;141
2,"[180,109,124,51,18,29]",180;109;124;51;18;29
2,"[134,45,18]",134;45;18
2,"[41,129]",41;129
2,"[116,180,146,175,35,195,15,39,155]",116;180;146;175;35;195;15;39;155
2,"[170,42,199,160,186,28,154]",170;42;199;160;186;28;154
3,"[0,121,43,199,194,18,158,26,29]",0;121;43;199;194;18;158;26;29
3,"[133,45,44,136,22,178,196]",133;45;44;136;22;178;196
3,"[161,127,44,55,17,26,142]",161;127;44;55;17;26;142
3,"[20,10,55,167]",20;10;55;167
3,"[3,153,2,1,7,17,39]",3;153;2;1;7;17;39
3,"[49,135,181,58,175,113,18,104,11]",49;135;181;58;175;113;18;104;11
3,"[143,180,59,185,56,22,53,158,176]",143;180;59;185;56;22;53;158;176
3,"[43,58,149,111,46,9]",43;58;149;111;46;9
3,"[182,47,35,188]",182;47;35;188
3,"[153,40]",153;40
3,"[126,132,124,105,8,131,37]",126;132;124;105;8;131;37
3,"[2,32]",2;32
3,"[117,133,9,14]",117;133;9;14
3,"[128,41]",128;41
3,"[59,16]",59;16
3,"[162,117,59,52,54,37,38,29]",162;117;59;52;54;37;38;29
3,"[161,59,147,44,110,187,165]",161;59;147;44;110;187;165
3,"[48,199,148,185,105,18,37,12]",48;199;148;185;105;18;37;12
